iout,vout,vin,iin
0.2,2.781,8,0.091
0.2,2.781,9,0.083
0.2,2.781,10,0.076
0.2,2.781,11,0.071
0.2,2.781,12,0.067
0.2,2.781,13,0.064
0.2,2.781,14,0.061
0.2,2.781,15,0.059
0.2,2.781,16,0.058
0.2,2.781,17,0.056
0.2,2.781,18,0.056
0.2,2.781,19,0.055
0.2,2.781,20,0.054
0.2,2.781,21,0.053
0.4,2.746,8,0.176
0.4,2.746,9,0.155
0.4,2.746,10,0.141
0.4,2.746,11,0.130
0.4,2.746,12,0.120
0.4,2.746,13,0.113
0.4,2.746,14,0.106
0.4,2.746,15,0.102
0.4,2.746,16,0.097
0.4,2.746,17,0.094
0.4,2.746,18,0.090
0.4,2.746,19,0.088
0.4,2.746,20,0.085
0.4,2.746,21,0.084
0.6,2.709,8,0.264
0.6,2.709,9,0.233
0.6,2.709,10,0.208
0.6,2.709,11,0.190
0.6,2.709,12,0.175
0.6,2.709,13,0.162
0.6,2.709,14,0.152
0.6,2.709,15,0.144
0.6,2.709,16,0.137
0.6,2.709,17,0.130
0.6,2.709,18,0.126
0.6,2.709,19,0.121
0.6,2.709,20,0.117
0.6,2.709,21,0.114
0.8,2.672,8,0.356
0.8,2.672,9,0.310
0.8,2.672,10,0.277
0.8,2.672,11,0.251
0.8,2.672,12,0.230
0.8,2.672,13,0.214
0.8,2.672,14,0.199
0.8,2.672,15,0.188
0.8,2.672,16,0.178
0.8,2.672,17,0.169
0.8,2.672,18,0.162
0.8,2.672,19,0.155
0.8,2.672,20,0.149
0.8,2.672,21,0.144





